Types of Ingredients,What They Do,Names Found on Product Labels
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Ascorbic acid
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Citric acid
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Sodium benzoate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Calcium propionate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Sodium erythorbate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Sodium nitrite
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Calcium sorbate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Potassium sorbate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",BHA
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",BHT
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",EDTA
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Tocopherols (Vitamin E)
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Tocopherols
Sweeteners,Add sweetness with or without the extra calories,Sucrose
Sweeteners,Add sweetness with or without the extra calories,Sugar
Sweeteners,Add sweetness with or without the extra calories,Glucose
Sweeteners,Add sweetness with or without the extra calories,Fructose
Sweeteners,Add sweetness with or without the extra calories,Sorbitol
Sweeteners,Add sweetness with or without the extra calories,Mannitol
Sweeteners,Add sweetness with or without the extra calories,Corn syrup
Sweeteners,Add sweetness with or without the extra calories,Saccharin
Sweeteners,Add sweetness with or without the extra calories,Aspartame
Sweeteners,Add sweetness with or without the extra calories,Sucralose
Sweeteners,Add sweetness with or without the extra calories,Acesulfame potassium
Sweeteners,Add sweetness with or without the extra calories,Acesulfame-K
Sweeteners,Add sweetness with or without the extra calories,Neotame
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Blue Nos. 1
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Blue Nos. 2
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Green No. 3
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Red Nos. 3
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Red Nos. 40
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Yellow Nos. 5
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Yellow Nos. 6
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",F Orange B
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Citrus Red No. 2
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Annatto extract
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Beta-carotene
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Grape skin extract
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Cochineal Carmine
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Cochineal extract
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Carmine
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Paprika oleoresin
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Caramel color
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Fruit juice
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Vegetable juice
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Saffron 
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Colorings
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Color
Flavors and Spices,Add specific flavors (natural and synthetic),Natural flavoring
Flavors and Spices,Add specific flavors (natural and synthetic),Artificial flavor
Flavors and Spices,Add specific flavors (natural and synthetic),Spices
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Monosodium glutamate
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),MSG
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Hydrolyzed soy protein
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Autolyzed yeast extract
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Disodium guanylate
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Disodium inosinate
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Olestra
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Cellulose gel
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Carrageenan
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Polydextrose
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Modified food starch
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Modified starch
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Food starch
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Starch
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Microparticulated egg white protein
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Guar gum
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Xanthan gum
Fat Replacers,"Provide expected texture and a creamy ""mouth-feel"" in reduced-fat foods",Whey protein concentrate
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Thiamine hydrochloride
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Riboflavin (Vitamin B2)
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Riboflavin
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Niacin
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Niacinamide
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Folate
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Folic acid
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Beta carotene
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Potassium iodide
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Iron sulfate
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Ferrous sulfate
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Alpha tocopherols
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Ascorbic acid
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Vitamin D
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)","Amino acids (L-tryptophan, L-lysine, L-leucine, L-methionine)"
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",L-tryptophan
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",L-lysine
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",L-leucine
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",L-methionine
Nutrients,"Replace vitamins and minerals lost in processing (enrichment), add nutrients that may be lacking in the diet (fortification)",Amino acids 
Emulsifiers,"Allow smooth mixing of ingredients, prevent separation

Keep emulsified products stable, reduce stickiness, control crystallization, keep ingredients dispersed, and to help products dissolve more easily",Soy lecithin
Emulsifiers,"Allow smooth mixing of ingredients, prevent separation

Keep emulsified products stable, reduce stickiness, control crystallization, keep ingredients dispersed, and to help products dissolve more easily",Monoglycerides
Emulsifiers,"Allow smooth mixing of ingredients, prevent separation

Keep emulsified products stable, reduce stickiness, control crystallization, keep ingredients dispersed, and to help products dissolve more easily","Diglycerides,"
Emulsifiers,"Allow smooth mixing of ingredients, prevent separation

Keep emulsified products stable, reduce stickiness, control crystallization, keep ingredients dispersed, and to help products dissolve more easily",Egg yolks
Emulsifiers,"Allow smooth mixing of ingredients, prevent separation

Keep emulsified products stable, reduce stickiness, control crystallization, keep ingredients dispersed, and to help products dissolve more easily",Polysorbates
Emulsifiers,"Allow smooth mixing of ingredients, prevent separation

Keep emulsified products stable, reduce stickiness, control crystallization, keep ingredients dispersed, and to help products dissolve more easily",Sorbitan monostearate
"Stabilizers and Thickeners, Binders, Texturizers","Produce uniform texture, improve ""mouth-feel""",Gelatin
"Stabilizers and Thickeners, Binders, Texturizers","Produce uniform texture, improve ""mouth-feel""",Pectin
"Stabilizers and Thickeners, Binders, Texturizers","Produce uniform texture, improve ""mouth-feel""",Guar gum
"Stabilizers and Thickeners, Binders, Texturizers","Produce uniform texture, improve ""mouth-feel""",Carrageenan
"Stabilizers and Thickeners, Binders, Texturizers","Produce uniform texture, improve ""mouth-feel""","Xanthan gum, whey"
"Stabilizers and Thickeners, Binders, Texturizers","Produce uniform texture, improve ""mouth-feel""",Whey
pH Control Agents and acidulants,"Control acidity and alkalinity, prevent spoilage",Lactic acid
pH Control Agents and acidulants,"Control acidity and alkalinity, prevent spoilage",Citric acid
pH Control Agents and acidulants,"Control acidity and alkalinity, prevent spoilage",Ammonium hydroxide
pH Control Agents and acidulants,"Control acidity and alkalinity, prevent spoilage",Sodium carbonate
Leavening Agents,Promote rising of baked goods,Baking soda
Leavening Agents,Promote rising of baked goods,Monocalcium phosphate
Leavening Agents,Promote rising of baked goods,Calcium carbonate
Anti-caking agents,"Keep powdered foods free-flowing, prevent moisture absorption","Calcium silicate,"
Anti-caking agents,"Keep powdered foods free-flowing, prevent moisture absorption",Iron ammonium citrate
Anti-caking agents,"Keep powdered foods free-flowing, prevent moisture absorption",Silicon dioxide
Humectants,Retain moisture,Glycerin
Humectants,Retain moisture,Sorbitol
Yeast Nutrients,Promote growth of yeast,Calcium sulfate
Yeast Nutrients,Promote growth of yeast,Ammonium phosphate
Dough Strengtheners and Conditioners,Produce more stable dough,Ammonium sulfate
Dough Strengtheners and Conditioners,Produce more stable dough,Azodicarbonamide
Dough Strengtheners and Conditioners,Produce more stable dough,L-cysteine
Firming Agents,Maintain crispness and firmness,Calcium chloride
Firming Agents,Maintain crispness and firmness,Calcium lactate
Enzyme Preparations,"Modify proteins, polysaccharides and fats",Enzymes
Enzyme Preparations,"Modify proteins, polysaccharides and fats",Lactase
Enzyme Preparations,"Modify proteins, polysaccharides and fats",Papain
Enzyme Preparations,"Modify proteins, polysaccharides and fats",Rennet
Enzyme Preparations,"Modify proteins, polysaccharides and fats",Chymosin
Gases,"Serve as propellant, aerate, or create carbonation",Carbon dioxide
Gases,"Serve as propellant, aerate, or create carbonation",Nitrous oxide
